수집시각,순위,제목,저자,출판사,굿즈,이벤트,링크,이미지URL,이전순위,순위변동
2026-09-04 01:48,1,스파이 패밀리 17,,학산문화사(만화),"화제의 책 + 알라딘 굿즈 (이벤트 도서 포함, 국내도서 3만원 이상)",,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=400315663,,1,–
2026-09-04 01:48,2,마남 이치 6 (트리플 특전판),,서울미디어코믹스(서울문화사),"화제의 책 + 알라딘 굿즈 (이벤트 도서 포함, 국내도서 3만원 이상)",,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=400917256,,2,–
2026-09-04 01:48,3,스킵과 로퍼 12,,,초판 특전 캐릭터 PET 스탠드/ 아크릴 DIY 키링(대상도서 포함 만화.라노벨 분야 1만 5천원 이상 구매 시),,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=400652795,,3,–
2026-09-04 01:48,4,아멜리아의 호기심 많은 로맨스 3,,,"초판 한정 투명 pet 포토카드 1종, 양면 일러스트 카드 1종, PET 사원증 1종/ 네컷 사진 북마크 세트(대상도서 포함 만화.라노벨 분야 1만 5천원 이상 구매 시)",,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=400930743,,4,–
2026-09-04 01:48,5,사카모토 데이즈 27 (더블 특전판),,대원씨아이(만화),초판 한정 띠지 + 일러스트 포스트 카드 + 일러스트 레이어 카드/증명사진 아크릴 스탠드(대상도서 포함 만화.라노벨 1만 5천원이상 구매 시),,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=400365190,,5,–
2026-09-04 01:48,6,야마다 군과 Lv999의 사랑을 하다 8,,,"초판 한정 특전 : 띠지, 일러스트 카드, 폴라로이드 카드/ 아크릴 마그넷 세트(대상도서 포함 만화.라노벨 분야 1만 5천원 이상 구매 시)",,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=400710266,,6,–
2026-09-04 01:48,7,엄마가 도망갔다,,나무의말,"단독 소복이 작가 친필 사인본(선착순 한정)+미니 에코백(랜덤, 마일리지 차감)",,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=400736391,,7,–
2026-09-04 01:48,8,봇치·더·록! 외전 히로이 키쿠리의 과음일기 6,,대원씨아이(만화),"화제의 책 + 알라딘 굿즈 (이벤트 도서 포함, 국내도서 3만원 이상)",,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=400587114,,8,–
2026-09-04 01:48,9,타몬 군 지금 어느 쪽?! 13 (한정판),,학산문화사(만화),"화제의 책 + 알라딘 굿즈 (이벤트 도서 포함, 국내도서 3만원 이상)",,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=399974125,,9,–
2026-09-04 01:48,10,블리치 리믹스 17,,서울미디어코믹스(서울문화사),"화제의 책 + 알라딘 굿즈 (이벤트 도서 포함, 국내도서 3만원 이상)",,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=401063905,,10,–
2026-09-04 01:48,11,명탐정 코난 108,,서울미디어코믹스(서울문화사),"화제의 책 + 알라딘 굿즈 (이벤트 도서 포함, 국내도서 3만원 이상)",,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=399539936,,11,–
2026-09-04 01:48,12,보러 가기,,서울미디어코믹스(서울문화사),"화제의 책 + 알라딘 굿즈 (이벤트 도서 포함, 국내도서 3만원 이상)",,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=401039402,,15,↑3
2026-09-04 01:48,13,킹덤 Kingdom 78,,대원씨아이(만화),"화제의 책 + 알라딘 굿즈 (이벤트 도서 포함, 국내도서 3만원 이상)",,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=400909479,,13,–
2026-09-04 01:48,14,책이라면 팔 만큼 1,,미우(대원씨아이),"화제의 책 + 알라딘 굿즈 (이벤트 도서 포함, 국내도서 3만원 이상)",,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=397412056,,14,–
2026-09-04 01:48,15,보러 가기,,미우(대원씨아이),"화제의 책 + 알라딘 굿즈 (이벤트 도서 포함, 국내도서 3만원 이상)",,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=399776857,,15,–
2026-09-04 01:48,16,야마다 군과 Lv999의 사랑을 하다 8 (특별판),,,"특별판 한정 특전 : 일반판 초판 특전, 틴케이스, 특별판 한정 엽서 4종 세트, 키캡 키링/ 아크릴 마그넷 세트(대상 도서 구매 시)",,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=400710167,,16,–
2026-09-04 01:48,17,황천의 츠가이 12 (더블특전판),,대원씨아이(만화),초판한정 일러스트 포스트카드 1종 + 일러스트 pp카드 1종/ 아크릴 카라비너 (대상도서 포함 만화.라노벨 분야 1만 5천원 이상 구매 시),,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=400246381,,17,–
2026-09-04 01:48,18,야화첩 8,,레진코믹스(레진엔터테인먼트),,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=401047773,,18,–
2026-09-04 01:48,19,야화첩 9,,레진코믹스(레진엔터테인먼트),,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=401049295,,19,–
2026-09-04 01:48,20,포켓몬 생태도감,,대원씨아이(단행본),"캐리어·백 리플렉터 택 세트(택 1, 대상도서 15,000원 이상)",,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=391764120,,20,–
2026-09-04 01:48,21,요괴소년 호야 완전판 4,,서울미디어코믹스(서울문화사),,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=401063751,,21,–
2026-09-04 01:48,22,모모세 아키라의 첫사랑 파탄 중 6 (트리플 특전판),,서울미디어코믹스(서울문화사),"화제의 책 + 알라딘 굿즈 (이벤트 도서 포함, 국내도서 3만원 이상)",,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=400547759,,22,–
2026-09-04 01:48,23,나의 첫 섹파 2,,재담,초판 한정 부록 : 양면 일러스트 카드,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=400977703,,23,–
2026-09-04 01:48,24,디그 잇 3 (더블특전판),,학산문화사(만화),수량 한정 더블 특전 : 비주얼 보드 + 스포츠 선수 카드/ 증명사진풍 스티커(대상도서 포함 만화.라노벨 1만 5천원 이상 구매 시),,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=400315752,,24,–
2026-09-04 01:48,25,이세계 삼촌 14,,데이즈엔터(주),,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=400713407,,25,–
2026-09-04 01:48,26,꿈인지 생시인지 4,,대원씨아이(만화),"화제의 책 + 알라딘 굿즈 (이벤트 도서 포함, 국내도서 3만원 이상)",,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=400980916,,26,–
2026-09-04 01:48,27,마법소녀를 동경해서 7 (더블특전판),,대원씨아이(만화),띠지 + 초판한정 일러스트 카드 1종 + 더블특전 SD 스티커 / 아크릴 스탠드(대상도서 포함 만화.라노벨 1만 5천원 이상 구매 시),,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=400544318,,27,–
2026-09-04 01:48,28,봄의 폭풍과 몬스터 9,,학산문화사(만화),수량 한정 특전: 포토카드,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=399973794,,28,–
2026-09-04 01:48,29,패배 히로인이 너무 많아! 8.5,,데이즈엔터(주),"화제의 책 + 알라딘 굿즈 (이벤트 도서 포함, 국내도서 3만원 이상)",,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=400714329,,29,–
