수집시각,순위,제목,저자,출판사,굿즈,이벤트,링크,이미지URL,이전순위,순위변동
2026-06-29 15:37,1,새창보기 아이콘새창보기,,다산책방,,,https://product.kyobobook.co.kr/detail/S000220120914,,,NEW
2026-06-29 15:37,2,새창보기 아이콘새창보기,,,,"[외국도서] 토이스토리, 디즈니, 캐릭터 비지북 시리즈 이벤트 | 2026/06/26 ~ 2026/07/31 | [외국도서] Wings of Fire 소설 & 그래픽노블 이벤트 | 2026/06/22 ~ 2026/07/26",https://product.kyobobook.co.kr/detail/S000219940093,,,NEW
2026-06-29 15:37,3,새창보기 아이콘새창보기,,서삼독,,송희구 작가 『나의 첫 번째 부동산 교과서』 랜선 팬사인회 | 2026/06/24 ~ 2026/07/02 | 시네마 리딩 클럽 #2. 퍼펙트 데이즈 | 2026/06/17 ~ 2026/07/02,https://product.kyobobook.co.kr/detail/S000220119415,,,NEW
2026-06-29 15:37,4,새창보기 아이콘새창보기,,민음사,,[트렌드+] 론칭 100일 이벤트 | 2026/06/25 ~ 2026/07/31 | 베르나르 베르베르『영혼의 왈츠 1』 랜선팬사인회 | 2026/06/24 ~ 2026/06/30,https://product.kyobobook.co.kr/detail/S000000620195,,,NEW
2026-06-29 15:37,5,새창보기 아이콘새창보기,,포레스트북스,,[교보문고 X 헬로페어런츠] 전문가의 책장 ② | 2026/06/17 ~ 2026/12/31 | 시네마 리딩 클럽 #2. 퍼펙트 데이즈 | 2026/06/17 ~ 2026/07/02,https://product.kyobobook.co.kr/detail/S000220119843,,,NEW
2026-06-29 15:37,6,새창보기 아이콘새창보기,,히읏,,시네마 리딩 클럽 #2. 퍼펙트 데이즈 | 2026/06/17 ~ 2026/07/02 | 2026 교보문고 상반기 종합 베스트셀러🏆💫 | 2026/06/15 ~ 2026/07/31,https://product.kyobobook.co.kr/detail/S000218278239,,,NEW
2026-06-29 15:37,7,새창보기 아이콘새창보기,,북플레저,,2026 07월 교보문고  VORA 강연라인업 | 2026/06/19 ~ 2026/07/31 | 시네마 리딩 클럽 #2. 퍼펙트 데이즈 | 2026/06/17 ~ 2026/07/02,https://product.kyobobook.co.kr/detail/S000219732915,,,NEW
2026-06-29 15:37,8,새창보기 아이콘새창보기,,이투스북,,독서대 세일 페스타 [얼리 썸머 특가] | 2026/06/12 ~ 2026/06/30 | 읽는 사람의 문구전 | 2026/06/08 ~ 2026/06/30,https://product.kyobobook.co.kr/detail/S000218674965,,,NEW
2026-06-29 15:37,9,새창보기 아이콘새창보기,,사이언스북스,,시네마 리딩 클럽 #2. 퍼펙트 데이즈 | 2026/06/17 ~ 2026/07/02 | 2026 교보문고 상반기 종합 베스트셀러🏆💫 | 2026/06/15 ~ 2026/07/31,https://product.kyobobook.co.kr/detail/S000001290624,,,NEW
2026-06-29 15:37,10,새창보기 아이콘새창보기,,YBM,,《YBM X 농심 배홍동 맛깔나는 토익 이벤트》 | 2026/06/23 ~ 2026/07/23 | 교보문고XYBM 여름 브랜드전 | 2026/06/17 ~ 2026/07/31,https://product.kyobobook.co.kr/detail/S000218791156,,,NEW
2026-06-29 15:37,11,새창보기 아이콘새창보기,,YBM,,《YBM X 농심 배홍동 맛깔나는 토익 이벤트》 | 2026/06/23 ~ 2026/07/23 | 교보문고XYBM 여름 브랜드전 | 2026/06/17 ~ 2026/07/31,https://product.kyobobook.co.kr/detail/S000218791163,,,NEW
