수집시각,순위,제목,저자,출판사,굿즈,이벤트,링크,이미지URL,이전순위,순위변동
2026-09-12 16:30,1,카구라바치 11 더블특전판,호카조노 타케루 글,대원,틴 마그넷,,https://www.yes24.com/product/goods/196013182,https://image.yes24.com/goods/196013182/XL,1,–
2026-09-12 16:30,2,오가미 츠미키와 기일상 8,모리시타 미유 글,학산문화사,스틸 북마크,,https://www.yes24.com/product/goods/195852167,https://image.yes24.com/goods/195852167/XL,2,–
2026-09-12 16:30,3,사카모토 데이즈 27 더블특전판,스즈키 유우토 글,대원,"아크릴 마그넷 2종 세트 외 (택1, 포함 만화/라이트노벨 1만 5천원↑, 포인트 차감)",,https://www.yes24.com/product/goods/195038533,https://image.yes24.com/goods/195038533/XL,3,–
2026-09-12 16:30,4,스파이 패밀리 Spy Family 17,엔도 타츠야 글,학산문화사,"[만화 주간 TOP 100] 산리오 미니 리유저블백 (택1, 포인트 차감)",,https://www.yes24.com/product/goods/195038308,https://image.yes24.com/goods/195038308/XL,4,–
2026-09-12 16:30,5,타몬 군 지금 어느 쪽?! 14,시와스 유키 글,학산문화사,"[만화 주간 TOP 100] 산리오 미니 리유저블백 (택1, 포인트 차감)",,https://www.yes24.com/product/goods/195852177,https://image.yes24.com/goods/195852177/XL,5,–
2026-09-12 16:30,6,고깔모자의 아틀리에 16 한정판,시라하마 카모메 글,학산문화사,틴케이스+포토카드 2장 세트,,https://www.yes24.com/product/goods/195860944,https://image.yes24.com/goods/195860944/XL,6,–
2026-09-12 16:30,7,마남 이치 6 트리플 특전판,니시 오사무 원,서울미디어코믹스(서울문화사),"[만화 주간 TOP 100] 산리오 미니 리유저블백 (택1, 포인트 차감)",,https://www.yes24.com/product/goods/195408762,https://image.yes24.com/goods/195408762/XL,7,–
2026-09-12 16:30,8,야마다 군과 Lv999의 사랑을 하다 8,마시로 글,디앤씨미디어(D&C미디어),미니 사각거울,,https://www.yes24.com/product/goods/195273087,https://image.yes24.com/goods/195273087/XL,8,–
2026-09-12 16:30,9,고깔모자의 아틀리에 16,시라하마 카모메 글,학산문화사,틴케이스+포토카드 2장 세트,,https://www.yes24.com/product/goods/195860823,https://image.yes24.com/goods/195860823/XL,9,–
2026-09-12 16:30,10,아마 그녀는 우리 형을 노리고 있을 거야 2,Maruno Ise 글,서울미디어코믹스(서울문화사),아크릴 북마크,,https://www.yes24.com/product/goods/195959871,https://image.yes24.com/goods/195959871/XL,10,–
2026-09-12 16:30,11,단다단 22 특별판,타츠 유키노부 글,대원,투명 포토카드 3장+종이홀더 세트,,https://www.yes24.com/product/goods/196344238,https://image.yes24.com/goods/196344238/XL,11,–
2026-09-12 16:30,12,스킵과 로퍼 12,타카마츠 미사키 글,YNKMEDIA,투명 포토카드 3장+종이홀더 세트,,https://www.yes24.com/product/goods/195240608,https://image.yes24.com/goods/195240608/XL,12,–
2026-09-12 16:30,13,원피스 ONE PIECE 114,오다 에이이치로 글,대원,"[만화 주간 TOP 100] 산리오 미니 리유저블백 (택1, 포인트 차감)",,https://www.yes24.com/product/goods/192110011,https://image.yes24.com/goods/192110011/XL,13,–
2026-09-12 16:30,14,모모세 아키라의 첫사랑 파탄 중 6 트리플특전판,하레카와 신타 글,서울미디어코믹스(서울문화사),"[만화 주간 TOP 100] 산리오 미니 리유저블백 (택1, 포인트 차감)",,https://www.yes24.com/product/goods/195221643,https://image.yes24.com/goods/195221643/XL,14,–
2026-09-12 16:30,15,디그 잇 3 더블특전판,요시다마루 글,학산문화사,엘홀더 2종 세트,,https://www.yes24.com/product/goods/195038242,https://image.yes24.com/goods/195038242/XL,15,–
2026-09-12 16:30,16,봇치·더·록! 외전 히로이 키쿠리의 과음일기 6,하마지 아키 원,대원,아크릴 더블 키링,,https://www.yes24.com/product/goods/195234691,https://image.yes24.com/goods/195234691/XL,16,–
2026-09-12 16:30,17,아멜리아의 호기심 많은 로맨스 3,코하쿠 요루 글,소미미디어,스틸 포토카드,,https://www.yes24.com/product/goods/195411953,https://image.yes24.com/goods/195411953/XL,17,–
